# [No.1] construct_wrapper.28
# In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(101)/    def construct(self, source_input, image_vec):/
funcgraph fg_28(
        %para1 : Tensor(F32)[4, 512, 1024]    # source_input
        , %para160 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn1.gamma
        , %para161 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn1.beta
        , %para162 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn1.moving_mean
        , %para163 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn1.moving_variance
        , %para164 : Ref[Tensor(F32)][512, 128, 1, 1]    # resnet.layer2.1.conv3.weight
        , %para165 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn1.gamma
        , %para166 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn1.beta
        , %para167 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn1.moving_mean
        , %para168 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn1.moving_variance
        , %para169 : Ref[Tensor(F32)][512, 128, 1, 1]    # resnet.layer2.2.conv3.weight
        , %para170 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn1.gamma
        , %para171 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn1.beta
        , %para172 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn1.moving_mean
        , %para173 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn1.moving_variance
        , %para174 : Ref[Tensor(F32)][512, 128, 1, 1]    # resnet.layer2.3.conv3.weight
        , %para175 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn1.gamma
        , %para176 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn1.beta
        , %para177 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn1.moving_mean
        , %para178 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn1.moving_variance
        , %para179 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn2.gamma
        , %para180 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn2.beta
        , %para181 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn2.moving_mean
        , %para182 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn2.moving_variance
        , %para183 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn2.gamma
        , %para184 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn2.beta
        , %para185 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn2.moving_mean
        , %para186 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn2.moving_variance
        , %para187 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn2.gamma
        , %para188 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn2.beta
        , %para189 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn2.moving_mean
        , %para190 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn2.moving_variance
        , %para191 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.bn3.gamma
        , %para192 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.bn3.beta
        , %para193 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.bn3.moving_mean
        , %para194 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.bn3.moving_variance
        , %para195 : Ref[Tensor(F32)][2048]    # resnet.layer4.1.bn3.gamma
        , %para196 : Ref[Tensor(F32)][2048]    # resnet.layer4.1.bn3.beta
        , %para197 : Ref[Tensor(F32)][2048]    # resnet.layer4.1.bn3.moving_mean
        , %para198 : Ref[Tensor(F32)][2048]    # resnet.layer4.1.bn3.moving_variance
        , %para199 : Ref[Tensor(F32)][2048]    # resnet.layer4.2.bn3.gamma
        , %para200 : Ref[Tensor(F32)][2048]    # resnet.layer4.2.bn3.beta
        , %para201 : Ref[Tensor(F32)][2048]    # resnet.layer4.2.bn3.moving_mean
        , %para202 : Ref[Tensor(F32)][2048]    # resnet.layer4.2.bn3.moving_variance
        , %para203 : Ref[Tensor(F32)][256, 64, 1, 1]    # resnet.layer1.0.conv3.weight
        , %para204 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn1.gamma
        , %para205 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn1.beta
        , %para206 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn1.moving_mean
        , %para207 : Ref[Tensor(F32)][64]    # resnet.layer1.0.bn1.moving_variance
        , %para208 : Ref[Tensor(F32)][256, 64, 1, 1]    # resnet.layer1.1.conv3.weight
        , %para209 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn1.gamma
        , %para210 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn1.beta
        , %para211 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn1.moving_mean
        , %para212 : Ref[Tensor(F32)][64]    # resnet.layer1.1.bn1.moving_variance
        , %para213 : Ref[Tensor(F32)][256, 64, 1, 1]    # resnet.layer1.2.conv3.weight
        , %para214 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn1.gamma
        , %para215 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn1.beta
        , %para216 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn1.moving_mean
        , %para217 : Ref[Tensor(F32)][64]    # resnet.layer1.2.bn1.moving_variance
        , %para218 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.bn3.gamma
        , %para219 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.bn3.beta
        , %para220 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.bn3.moving_mean
        , %para221 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.bn3.moving_variance
        , %para222 : Ref[Tensor(F32)][1024]    # resnet.layer3.1.bn3.gamma
        , %para223 : Ref[Tensor(F32)][1024]    # resnet.layer3.1.bn3.beta
        , %para224 : Ref[Tensor(F32)][1024]    # resnet.layer3.1.bn3.moving_mean
        , %para225 : Ref[Tensor(F32)][1024]    # resnet.layer3.1.bn3.moving_variance
        , %para226 : Ref[Tensor(F32)][1024]    # resnet.layer3.2.bn3.gamma
        , %para227 : Ref[Tensor(F32)][1024]    # resnet.layer3.2.bn3.beta
        , %para228 : Ref[Tensor(F32)][1024]    # resnet.layer3.2.bn3.moving_mean
        , %para229 : Ref[Tensor(F32)][1024]    # resnet.layer3.2.bn3.moving_variance
        , %para230 : Ref[Tensor(F32)][1024]    # resnet.layer3.3.bn3.gamma
        , %para231 : Ref[Tensor(F32)][1024]    # resnet.layer3.3.bn3.beta
        , %para232 : Ref[Tensor(F32)][1024]    # resnet.layer3.3.bn3.moving_mean
        , %para233 : Ref[Tensor(F32)][1024]    # resnet.layer3.3.bn3.moving_variance
        , %para234 : Ref[Tensor(F32)][1024]    # resnet.layer3.4.bn3.gamma
        , %para235 : Ref[Tensor(F32)][1024]    # resnet.layer3.4.bn3.beta
        , %para236 : Ref[Tensor(F32)][1024]    # resnet.layer3.4.bn3.moving_mean
        , %para237 : Ref[Tensor(F32)][1024]    # resnet.layer3.4.bn3.moving_variance
        , %para238 : Ref[Tensor(F32)][1024]    # resnet.layer3.5.bn3.gamma
        , %para239 : Ref[Tensor(F32)][1024]    # resnet.layer3.5.bn3.beta
        , %para240 : Ref[Tensor(F32)][1024]    # resnet.layer3.5.bn3.moving_mean
        , %para241 : Ref[Tensor(F32)][1024]    # resnet.layer3.5.bn3.moving_variance
        , %para242 : Ref[Tensor(F32)][512]    # resnet.layer2.0.bn3.gamma
        , %para243 : Ref[Tensor(F32)][512]    # resnet.layer2.0.bn3.beta
        , %para244 : Ref[Tensor(F32)][512]    # resnet.layer2.0.bn3.moving_mean
        , %para245 : Ref[Tensor(F32)][512]    # resnet.layer2.0.bn3.moving_variance
        , %para246 : Ref[Tensor(F32)][512]    # resnet.layer2.1.bn3.gamma
        , %para247 : Ref[Tensor(F32)][512]    # resnet.layer2.1.bn3.beta
        , %para248 : Ref[Tensor(F32)][512]    # resnet.layer2.1.bn3.moving_mean
        , %para249 : Ref[Tensor(F32)][512]    # resnet.layer2.1.bn3.moving_variance
        , %para250 : Ref[Tensor(F32)][512]    # resnet.layer2.2.bn3.gamma
        , %para251 : Ref[Tensor(F32)][512]    # resnet.layer2.2.bn3.beta
        , %para252 : Ref[Tensor(F32)][512]    # resnet.layer2.2.bn3.moving_mean
        , %para253 : Ref[Tensor(F32)][512]    # resnet.layer2.2.bn3.moving_variance
        , %para254 : Ref[Tensor(F32)][512]    # resnet.layer2.3.bn3.gamma
        , %para255 : Ref[Tensor(F32)][512]    # resnet.layer2.3.bn3.beta
        , %para256 : Ref[Tensor(F32)][512]    # resnet.layer2.3.bn3.moving_mean
        , %para257 : Ref[Tensor(F32)][512]    # resnet.layer2.3.bn3.moving_variance
        , %para258 : Ref[Tensor(F32)][256]    # resnet.layer1.0.bn3.gamma
        , %para259 : Ref[Tensor(F32)][256]    # resnet.layer1.0.bn3.beta
        , %para260 : Ref[Tensor(F32)][256]    # resnet.layer1.0.bn3.moving_mean
        , %para261 : Ref[Tensor(F32)][256]    # resnet.layer1.0.bn3.moving_variance
        , %para262 : Ref[Tensor(F32)][256]    # resnet.layer1.1.bn3.gamma
        , %para263 : Ref[Tensor(F32)][256]    # resnet.layer1.1.bn3.beta
        , %para264 : Ref[Tensor(F32)][256]    # resnet.layer1.1.bn3.moving_mean
        , %para265 : Ref[Tensor(F32)][256]    # resnet.layer1.1.bn3.moving_variance
        , %para266 : Ref[Tensor(F32)][256]    # resnet.layer1.2.bn3.gamma
        , %para267 : Ref[Tensor(F32)][256]    # resnet.layer1.2.bn3.beta
        , %para268 : Ref[Tensor(F32)][256]    # resnet.layer1.2.bn3.moving_mean
        , %para269 : Ref[Tensor(F32)][256]    # resnet.layer1.2.bn3.moving_variance
        , %para270 : Ref[Tensor(F32)][2048, 1024, 1, 1]    # resnet.layer4.0.down_sample_layer.0.weight
        , %para271 : Ref[Tensor(F32)][1024, 512, 1, 1]    # resnet.layer3.0.down_sample_layer.0.weight
        , %para272 : Ref[Tensor(F32)][512, 256, 1, 1]    # resnet.layer2.0.down_sample_layer.0.weight
        , %para273 : Ref[Tensor(F32)][256, 64, 1, 1]    # resnet.layer1.0.down_sample_layer.0.weight
        , %para274 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.down_sample_layer.1.gamma
        , %para275 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.down_sample_layer.1.beta
        , %para276 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.down_sample_layer.1.moving_mean
        , %para277 : Ref[Tensor(F32)][2048]    # resnet.layer4.0.down_sample_layer.1.moving_variance
        , %para278 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.down_sample_layer.1.gamma
        , %para279 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.down_sample_layer.1.beta
        , %para280 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.down_sample_layer.1.moving_mean
        , %para281 : Ref[Tensor(F32)][1024]    # resnet.layer3.0.down_sample_layer.1.moving_variance
        , %para282 : Ref[Tensor(F32)][512]    # resnet.layer2.0.down_sample_layer.1.gamma
        , %para283 : Ref[Tensor(F32)][512]    # resnet.layer2.0.down_sample_layer.1.beta
        , %para284 : Ref[Tensor(F32)][512]    # resnet.layer2.0.down_sample_layer.1.moving_mean
        , %para285 : Ref[Tensor(F32)][512]    # resnet.layer2.0.down_sample_layer.1.moving_variance
        , %para286 : Ref[Tensor(F32)][256]    # resnet.layer1.0.down_sample_layer.1.gamma
        , %para287 : Ref[Tensor(F32)][256]    # resnet.layer1.0.down_sample_layer.1.beta
        , %para288 : Ref[Tensor(F32)][256]    # resnet.layer1.0.down_sample_layer.1.moving_mean
        , %para289 : Ref[Tensor(F32)][256]    # resnet.layer1.0.down_sample_layer.1.moving_variance
    ) {

#------------------------> 0
    %1 = FuncGraph::fg_42(%para1, %para2)    #(Tensor(F32)[4, 512, 1024], Tensor(F32)[4, 640, 480, 3])    # fg_42=construct.42 #scope: Default
#[CNode]44
    Primitive::Return{prim_type=1}(%1)    #(Undefined) #scope: Default
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(106)/        return self.cast(total_loss, mstype.float32)/#[CNode]45
}
# order:
#   1: construct_wrapper.28:[CNode]44{[0]: ValueNode<FuncGraph> construct.42, [1]: source_input, [2]: image_vec}
#   2: construct_wrapper.28:[CNode]45{[0]: ValueNode<Primitive> Return, [1]: [CNode]44}


# [No.2] construct.42
# In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(101)/    def construct(self, source_input, image_vec):/
funcgraph fg_42[fg_28](
        %para290 : Tensor(F32)[4, 512, 1024]    # source_input
        , %para291 : Tensor(F32)[4, 640, 480, 3]    # image_vec
    ) {
    %1 : Tensor(F32)[4, 4] = FuncGraph::fg_46(%para290, %para291)    #(Tensor(F32)[4, 512, 1024], Tensor(F32)[4, 640, 480, 3])    # fg_46=construct.46 #scope: Default
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(103)/        similarity_matrix = self.vqa(source_input, image_vec)/#similarity_matrix

#------------------------> 1
    %2 = FuncGraph::fg_43(%1)    #(Tensor(F32)[4, 4])    # fg_43=construct.43 #scope: Default
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(105)/        total_loss = self.loss(similarity_matrix)/#total_loss
    %3 = DoSignaturePrimitive::S-Prim-Cast{prim_type=1}[output_names=["output"], input_names=["x", "dst_type"]](%2, F32)    #(Undefined, Undefined) #scope: Default
